,Unnamed: 0,Page-1-Clicks,Page-2-Clicks,Page-3-Clicks,Page-4-Clicks,Page-5-Clicks,Page-6-Clicks,Page-7-Clicks,Page-8-Clicks,Page-9-Clicks,Page-10-Clicks,Food-Clicks,Gossip-Clicks,Politic-Clicks,Science-Clicks,Sport-Clicks,Tech-Clicks,Food-Allocations,Gossip-Allocations,Politic-Allocations,Science-Allocations,Sport-Allocations,Tech-Allocations,Page-1-Time,Page-2-Time,Page-3-Time,Page-4-Time,Page-5-Time,Page-6-Time,Page-7-Time,Page-8-Time,Page-9-Time,Page-10-Time
219,219,4.0,3.0,5.0,5.0,6.0,6.0,2.0,3.0,7.0,4.0,1,0,2,17,0,25,13,12,11,28,10,56,46.56,38.108000000000004,54.196999999999996,45.523,45.085,49.426,35.405,39.217,47.784,44.123999999999995
220,220,3.0,7.0,2.0,7.0,6.0,4.0,4.0,3.0,4.0,4.0,3,1,1,35,1,3,13,14,12,64,12,15,41.946999999999996,41.816,28.585,37.814,44.327,38.719,41.684,34.921,35.296,38.025
221,221,8.0,7.0,7.0,7.0,8.0,8.0,9.0,7.0,9.0,8.0,0,16,17,42,0,3,10,21,30,46,13,10,43.448,31.171999999999997,27.614,33.133,24.671,32.751,22.293000000000003,42.794,32.229,31.006999999999998
222,222,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,2,1,0,15,0,5,15,16,15,46,13,25,68.332,57.821000000000005,68.057,68.404,60.84,54.979,54.747,61.845,76.671,74.089
223,223,3.0,4.0,3.0,4.0,5.0,2.0,5.0,2.0,5.0,3.0,0,0,0,26,0,10,11,15,12,52,12,28,13.455,13.876,14.749,14.876,17.375999999999998,15.942,15.186,12.479000000000001,16.297,20.755
224,224,2.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,8,1,1,3,3,1,42,17,13,18,21,19,34.305,24.980999999999998,11.540999999999999,14.225,14.318,10.905,18.81,9.228,10.484000000000002,13.912
225,225,3.0,2.0,7.0,7.0,9.0,8.0,9.0,9.0,7.0,7.0,3,0,6,57,1,1,13,13,14,67,11,12,33.289,36.647,50.229,42.177,38.172,39.13,39.922,29.131999999999998,39.828,39.832
226,226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,2,5,3,16,15,15,25,38,21,15.792,18.406,9.057,11.677999999999999,10.144,6.355,16.214000000000002,11.843,11.103,22.173000000000002
227,227,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,1,0,1,7,16,15,21,16,22,40,26.608,7.6339999999999995,10.161,6.5489999999999995,31.179000000000002,16.204,10.785,6.406000000000001,14.73,4.784
228,228,7.0,5.0,4.0,4.0,7.0,2.0,8.0,9.0,4.0,5.0,1,1,3,12,20,18,10,13,14,26,34,33,78.48,24.489,29.943,28.916999999999998,81.742,22.354,147.34,28.873,26.584,27.858
229,229,7.0,3.0,5.0,5.0,7.0,6.0,6.0,5.0,8.0,7.0,34,2,1,13,5,4,40,14,12,29,21,14,165.416,52.736000000000004,39.05,53.25,69.922,29.229,249.74599999999998,33.518,43.751999999999995,38.007
230,230,2.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,0,0,0,27,0,2,13,12,12,65,13,15,47.537,45.762,30.136999999999997,45.107,52.356,57.453,258.101,26.221,35.921,55.144
231,231,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0,0,2,4,5,1,14,16,23,27,28,22,76.301,44.141999999999996,90.96,20.9,26.436999999999998,50.494,61.996,41.075,72.916,19.963
232,232,2.0,2.0,3.0,2.0,3.0,4.0,1.0,4.0,1.0,1.0,0,0,0,2,1,20,14,15,14,15,15,57,21.893,20.123,22.099,28.06,20.796999999999997,19.744,15.700999999999999,23.353,23.086,15.17
233,233,2.0,4.0,6.0,5.0,5.0,4.0,6.0,9.0,6.0,7.0,28,1,3,18,0,4,47,12,15,29,12,15,34.148,31.15,34.92,40.602,30.104,36.88,39.597,33.185,31.726,51.678000000000004
234,234,1.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,1.0,0,0,0,3,0,16,11,16,16,24,13,50,12.327,17.232,12.715,24.003,15.244000000000002,16.835,17.727999999999998,13.392999999999999,19.457,17.249000000000002
235,235,4.0,0.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,0,0,1,15,0,3,12,13,16,51,14,24,63.957,44.199,49.805,43.883,38.04,36.95,52.196999999999996,34.464,42.934,49.273999999999994
236,236,1.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,0,0,0,16,0,0,13,14,15,60,11,17,52.208,64.64699999999999,41.413999999999994,44.611999999999995,32.874,36.912,40.25,26.715999999999998,32.615,44.055
237,237,2.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,1,0,0,3,0,17,17,11,13,21,13,55,27.311999999999998,19.812,28.178,21.311,24.666999999999998,31.776,25.25,15.249,18.437,20.156
238,238,1.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1,0,2,5,0,4,18,15,23,32,15,27,27.316,26.816999999999997,31.859,23.13,19.293,17.95,15.887,24.857,19.658,39.099000000000004
239,239,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2,0,2,0,2,3,24,18,21,19,29,19,16.89,8.402000000000001,9.604,6.649,7.928999999999999,11.698,4.422,13.989,10.308,9.731
240,240,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2,0,1,3,2,4,23,19,16,27,23,22,11.725,3.362,6.528,16.834,9.46,4.795,5.982,8.492,9.204,7.591
241,241,3.0,4.0,3.0,6.0,9.0,7.0,7.0,9.0,8.0,8.0,2,2,1,48,0,11,16,14,13,59,13,15,33.361999999999995,34.571,24.516,29.179000000000002,26.276999999999997,33.536,26.48,31.494,26.225,30.736
242,242,4.0,5.0,2.0,4.0,2.0,6.0,6.0,5.0,5.0,3.0,1,0,3,34,2,2,14,12,22,57,11,14,41.687,31.204,109.29899999999999,50.413999999999994,59.523999999999994,38.913000000000004,46.481,41.111000000000004,43.416000000000004,44.06399999999999
243,243,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,11,0,0,14,17,16,57,13,13,53.01,46.082,10.487,13.508,17.455,16.668,32.672,20.590999999999998,24.616,12.556
244,244,2.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,0,4,1,3,0,4,17,24,20,27,13,29,37.977,30.776999999999997,28.418000000000003,27.500999999999998,28.75,16.816,18.938,27.046999999999997,17.343,16.542
245,245,3.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0,2,0,6,0,1,15,19,14,43,18,21,28.909000000000002,35.336999999999996,26.414,23.233,32.634,27.525,29.011,27.555999999999997,24.333000000000002,25.833000000000002
246,246,3.0,3.0,6.0,5.0,3.0,2.0,6.0,5.0,4.0,4.0,0,0,1,25,0,15,12,13,13,43,10,39,54.071000000000005,42.019,37.265,24.213,37.593,28.305999999999997,35.385,32.829,28.174,27.008000000000003
247,247,4.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,0,0,2,10,2,15,13,12,16,28,14,47,41.405,31.537,24.166999999999998,23.971999999999998,25.069000000000003,25.294,19.116,24.189,21.599,22.183000000000003
248,248,5.0,7.0,5.0,6.0,8.0,8.0,6.0,5.0,3.0,6.0,0,0,9,45,0,5,11,13,20,62,12,12,49.735,72.306,67.44,51.66,72.11399999999999,70.798,64.616,83.334,61.595,66.942
249,249,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0,0,0,10,0,3,18,12,16,49,13,22,42.148,21.581,18.805,18.704,23.479,16.727999999999998,21.121,15.35,14.797,16.206
250,250,1.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0,1,0,13,0,0,11,15,16,56,13,19,26.305,23.793000000000003,19.564,30.491999999999997,19.451,24.679000000000002,51.825,20.264,13.088,10.738
251,251,2.0,4.0,2.0,5.0,5.0,4.0,1.0,6.0,4.0,4.0,1,0,0,31,1,4,13,13,13,62,13,16,32.181999999999995,28.408,37.464,35.746,35.566,33.486,26.846999999999998,37.471,31.381999999999998,25.682
252,252,6.0,6.0,3.0,4.0,2.0,6.0,5.0,5.0,5.0,7.0,2,0,10,31,3,3,13,14,27,47,15,14,87.37899999999999,54.895,69.423,52.376000000000005,26.62,50.184,48.336999999999996,53.065,59.898999999999994,90.508
253,253,2.0,3.0,1.0,3.0,3.0,4.0,3.0,1.0,3.0,2.0,0,0,0,11,0,14,13,15,14,31,13,44,18.254,21.514,21.276,29.072,28.002,28.365,31.664,21.099,26.570999999999998,30.303
254,254,6.0,4.0,5.0,3.0,2.0,2.0,6.0,7.0,0.0,3.0,0,0,13,20,0,5,10,12,31,41,12,24,39.022,34.564,38.592,35.424,29.914,25.034000000000002,32.286,41.193000000000005,37.842,17.657
255,255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1,0,6,0,1,25,19,18,34,14,20,21.781,16.738,9.916,12.106,11.055,18.796,14.815,7.207999999999999,31.548000000000002,16.418
256,256,4.0,3.0,5.0,6.0,5.0,6.0,3.0,1.0,4.0,2.0,1,1,2,25,0,10,16,11,13,52,13,25,36.373000000000005,24.15,27.855999999999998,21.901999999999997,28.021,25.487,15.448,15.22,22.479,14.039000000000001
257,257,4.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,19,1,2,3,0,12,43,11,17,16,13,30,85.973,40.729,37.332,40.405,34.794000000000004,33.744,30.851,30.496,32.065,35.163000000000004
258,258,3.0,3.0,4.0,4.0,7.0,7.0,6.0,6.0,8.0,5.0,0,0,1,37,4,11,15,10,15,55,18,17,24.564,24.052,19.046,16.545,19.961,17.048,22.544,16.604,23.557,24.146
259,259,4.0,5.0,6.0,7.0,4.0,4.0,3.0,4.0,7.0,4.0,3,0,1,39,2,3,13,14,16,62,10,15,56.54600000000001,62.82899999999999,56.531000000000006,47.746,68.938,66.171,51.27,40.395,50.349,60.692
260,260,3.0,1.0,3.0,1.0,1.0,3.0,2.0,0.0,3.0,3.0,0,0,0,14,0,6,12,14,16,44,11,33,37.906,57.096000000000004,11.718,23.489,69.387,19.246,13.824000000000002,15.595999999999998,13.985,15.308
261,261,2.0,7.0,1.0,1.0,1.0,4.0,2.0,4.0,3.0,3.0,2,0,8,14,1,3,17,14,24,44,13,18,36.955,44.966,27.738000000000003,31.355,27.741999999999997,31.81,24.288,33.523,33.39,29.525
262,262,4.0,5.0,3.0,6.0,6.0,7.0,5.0,7.0,5.0,5.0,1,0,43,6,3,0,13,14,64,16,10,13,47.196999999999996,39.754,34.381,32.694,36.042,33.667,41.775,37.637,42.452,82.70299999999999
264,264,3.0,2.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0,0,1,2,2,8,12,15,23,18,19,43,63.673,37.132,26.949,16.212,36.231,11.74,19.17,19.73,19.727999999999998,17.655
265,265,4.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1,0,0,1,0,17,16,14,13,14,13,60,28.105,10.589,4.337,3.0410000000000004,10.259,3.242,6.032,4.345,4.38,4.105
